Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ocupación;Sexo;Periodo;Total
Total Nacional;;;15 Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes;Mujeres;2021;43.484
Total Nacional;;;21 Profesionales de la salud;Total;2022;780.454
Total Nacional;;;21 Profesionales de la salud;Total;2021;745.706
Total Nacional;;;21 Profesionales de la salud;Hombres;2022;211.874
Total Nacional;;;21 Profesionales de la salud;Hombres;2021;201.588
Total Nacional;;;21 Profesionales de la salud;Mujeres;2022;568.580
Total Nacional;;;21 Profesionales de la salud;Mujeres;2021;544.118
Total Nacional;;;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Total;2022;964.871
Total Nacional;;;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Total;2021;895.782
Total Nacional;;;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Hombres;2022;310.719
Total Nacional;;;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Hombres;2021;286.611
Total Nacional;;;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Mujeres;2022;654.152
Total Nacional;;;22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria;Mujeres;2021;609.171
Total Nacional;;;23 Otros profesionales de la enseñanza;Total;2022;252.162
Total Nacional;;;23 Otros profesionales de la enseñanza;Total;2021;243.441
Total Nacional;;;23 Otros profesionales de la enseñanza;Hombres;2022;89.107
Total Nacional;;;23 Otros profesionales de la enseñanza;Hombres;2021;86.103
Total Nacional;;;23 Otros profesionales de la enseñanza;Mujeres;2022;163.055
Total Nacional;;;23 Otros profesionales de la enseñanza;Mujeres;2021;157.338
Total Nacional;;;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Total;2022;437.586
Total Nacional;;;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Total;2021;438.909
Total Nacional;;;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Hombres;2022;298.629
Total Nacional;;;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Hombres;2021;299.032
Total Nacional;;;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Mujeres;2022;138.957
Total Nacional;;;24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías;Mujeres;2021;139.877
Total Nacional;;;25 Profesionales en derecho;Total;2022;186.389
Total Nacional;;;25 Profesionales en derecho;Total;2021;182.609
Total Nacional;;;25 Profesionales en derecho;Hombres;2022;84.290
Total Nacional;;;25 Profesionales en derecho;Hombres;2021;83.536
Total Nacional;;;25 Profesionales en derecho;Mujeres;2022;102.099
Total Nacional;;;25 Profesionales en derecho;Mujeres;2021;99.073
Total Nacional;;;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Total;2022;437.691
Total Nacional;;;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Total;2021;413.035
Total Nacional;;;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Hombres;2022;215.363
Total Nacional;;;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Hombres;2021;204.482
Total Nacional;;;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Mujeres;2022;222.328
Total Nacional;;;26 Especialistas en organización de la Administración Pública y de las empresas y en la comercialización;Mujeres;2021;208.553
Total Nacional;;;27 Profesionales de las tecnologías de la información;Total;2022;185.112
Total Nacional;;;27 Profesionales de las tecnologías de la información;Total;2021;180.987
Total Nacional;;;27 Profesionales de las tecnologías de la información;Hombres;2022;138.185
Total Nacional;;;27 Profesionales de las tecnologías de la información;Hombres;2021;134.374
Total Nacional;;;27 Profesionales de las tecnologías de la información;Mujeres;2022;46.927
Total Nacional;;;27 Profesionales de las tecnologías de la información;Mujeres;2021;46.613
Total Nacional;;;28 Profesionales en ciencias sociales;Total;2022;204.093
Total Nacional;;;28 Profesionales en ciencias sociales;Total;2021;193.139
Total Nacional;;;28 Profesionales en ciencias sociales;Hombres;2022;55.873
Total Nacional;;;28 Profesionales en ciencias sociales;Hombres;2021;49.506
Total Nacional;;;28 Profesionales en ciencias sociales;Mujeres;2022;148.220
Total Nacional;;;28 Profesionales en ciencias sociales;Mujeres;2021;143.633
Total Nacional;;;29 Profesionales de la cultura y el espectáculo;Total;2022;168.705
Total Nacional;;;29 Profesionales de la cultura y el espectáculo;Total;2021;177.283
Total Nacional;;;29 Profesionales de la cultura y el espectáculo;Hombres;2022;88.660
Total Nacional;;;29 Profesionales de la cultura y el espectáculo;Hombres;2021;92.463
Total Nacional;;;29 Profesionales de la cultura y el espectáculo;Mujeres;2022;80.045
Total Nacional;;;29 Profesionales de la cultura y el espectáculo;Mujeres;2021;84.820
Total Nacional;;;31 Técnicos de las ciencias y de las ingenierías;Total;2022;312.985
Total Nacional;;;31 Técnicos de las ciencias y de las ingenierías;Total;2021;313.626
Total Nacional;;;31 Técnicos de las ciencias y de las ingenierías;Hombres;2022;238.773
Total Nacional;;;31 Técnicos de las ciencias y de las ingenierías;Hombres;2021;236.274
Total Nacional;;;31 Técnicos de las ciencias y de las ingenierías;Mujeres;2022;74.212
Total Nacional;;;31 Técnicos de las ciencias y de las ingenierías;Mujeres;2021;77.352
Total Nacional;;;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Total;2022;86.593
Total Nacional;;;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Total;2021;76.621
Total Nacional;;;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Hombres;2022;77.309
Total Nacional;;;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Hombres;2021;68.369
Total Nacional;;;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Mujeres;2022;9.284
Total Nacional;;;32 Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción;Mujeres;2021;8.252
Total Nacional;;;33 Técnicos sanitarios y profesionales de las terapias alternativas;Total;2022;143.116
Total Nacional;;;33 Técnicos sanitarios y profesionales de las terapias alternativas;Total;2021;120.568
Total Nacional;;;33 Técnicos sanitarios y profesionales de las terapias alternativas;Hombres;2022;44.035
Total Nacional;;;33 Técnicos sanitarios y profesionales de las terapias alternativas;Hombres;2021;37.480
Total Nacional;;;33 Técnicos sanitarios y profesionales de las terapias alternativas;Mujeres;2022;99.081
Total Nacional;;;33 Técnicos sanitarios y profesionales de las terapias alternativas;Mujeres;2021;83.088
Total Nacional;;;34 Profesionales de apoyo en finanzas y matemáticas;Total;2022;20.325
Total Nacional;;;34 Profesionales de apoyo en finanzas y matemáticas;Total;2021;22.700
Total Nacional;;;34 Profesionales de apoyo en finanzas y matemáticas;Hombres;2022;10.436
Total Nacional;;;34 Profesionales de apoyo en finanzas y matemáticas;Hombres;2021;11.064
Total Nacional;;;34 Profesionales de apoyo en finanzas y matemáticas;Mujeres;2022;9.889
Total Nacional;;;34 Profesionales de apoyo en finanzas y matemáticas;Mujeres;2021;11.636
Total Nacional;;;35 Representantes, agentes comerciales y afines;Total;2022;571.624
Total Nacional;;;35 Representantes, agentes comerciales y afines;Total;2021;536.069
Total Nacional;;;35 Representantes, agentes comerciales y afines;Hombres;2022;347.505
Total Nacional;;;35 Representantes, agentes comerciales y afines;Hombres;2021;330.438
Total Nacional;;;35 Representantes, agentes comerciales y afines;Mujeres;2022;224.119
Total Nacional;;;35 Representantes, agentes comerciales y afines;Mujeres;2021;205.631
Total Nacional;;;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Total;2022;328.155
Total Nacional;;;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Total;2021;312.225
Total Nacional;;;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Hombres;2022;122.153
Total Nacional;;;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Hombres;2021;112.532
Total Nacional;;;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Mujeres;2022;206.002
Total Nacional;;;36 Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad;Mujeres;2021;199.693
Total Nacional;;;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Total;2022;351.653
Total Nacional;;;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Total;2021;337.669
Total Nacional;;;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Hombres;2022;179.279
Total Nacional;;;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Hombres;2021;170.375
Total Nacional;;;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Mujeres;2022;172.374
Total Nacional;;;37 Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines;Mujeres;2021;167.294
Total Nacional;;;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Total;2022;234.962
Total Nacional;;;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Total;2021;218.588
Total Nacional;;;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Hombres;2022;182.247
Total Nacional;;;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Hombres;2021;169.847
Total Nacional;;;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Mujeres;2022;52.715
Total Nacional;;;38 Técnicos de las tecnologías de la información y las comunicaciones (TIC);Mujeres;2021;48.741
Total Nacional;;;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Total;2022;372.024
Total Nacional;;;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Total;2021;356.654
Total Nacional;;;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Hombres;2022;195.032
Total Nacional;;;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Hombres;2021;183.332
Total Nacional;;;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Mujeres;2022;176.992
Total Nacional;;;41 Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte;Mujeres;2021;173.322
Total Nacional;;;42 Empleados de bibliotecas, servicios de correos y afines;Total;2022;78.694
Total Nacional;;;42 Empleados de bibliotecas, servicios de correos y afines;Total;2021;85.607
Total Nacional;;;42 Empleados de bibliotecas, servicios de correos y afines;Hombres;2022;40.302
Total Nacional;;;42 Empleados de bibliotecas, servicios de correos y afines;Hombres;2021;42.614
Total Nacional;;;42 Empleados de bibliotecas, servicios de correos y afines;Mujeres;2022;38.392
Total Nacional;;;42 Empleados de bibliotecas, servicios de correos y afines;Mujeres;2021;42.993
Total Nacional;;;43 Otros empleados administrativos sin tareas de atención al público;Total;2022;603.888
Total Nacional;;;43 Otros empleados administrativos sin tareas de atención al público;Total;2021;598.852
Total Nacional;;;43 Otros empleados administrativos sin tareas de atención al público;Hombres;2022;181.773
Total Nacional;;;43 Otros empleados administrativos sin tareas de atención al público;Hombres;2021;181.008
Total Nacional;;;43 Otros empleados administrativos sin tareas de atención al público;Mujeres;2022;422.115
Total Nacional;;;43 Otros empleados administrativos sin tareas de atención al público;Mujeres;2021;417.844
Total Nacional;;;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Total;2022;288.633
Total Nacional;;;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Total;2021;294.179
Total Nacional;;;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Hombres;2022;92.179
Total Nacional;;;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Hombres;2021;92.364
Total Nacional;;;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Mujeres;2022;196.454
Total Nacional;;;44 Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros);Mujeres;2021;201.815
Total Nacional;;;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Total;2022;537.861
Total Nacional;;;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Total;2021;472.307
Total Nacional;;;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Hombres;2022;151.039
Total Nacional;;;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Hombres;2021;128.836
Total Nacional;;;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Mujeres;2022;386.822
Total Nacional;;;45 Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;Mujeres;2021;343.471
Total Nacional;;;50 Camareros y cocineros propietarios;Total;2022;287.802
Total Nacional;;;50 Camareros y cocineros propietarios;Total;2021;281.961
Total Nacional;;;50 Camareros y cocineros propietarios;Hombres;2022;158.802
Total Nacional;;;50 Camareros y cocineros propietarios;Hombres;2021;156.078
Total Nacional;;;50 Camareros y cocineros propietarios;Mujeres;2022;129.000
Total Nacional;;;50 Camareros y cocineros propietarios;Mujeres;2021;125.883
Total Nacional;;;51 Trabajadores asalariados de los servicios de restauración;Total;2022;793.539
Total Nacional;;;51 Trabajadores asalariados de los servicios de restauración;Total;2021;731.444
Total Nacional;;;51 Trabajadores asalariados de los servicios de restauración;Hombres;2022;376.001
Total Nacional;;;51 Trabajadores asalariados de los servicios de restauración;Hombres;2021;344.573
Total Nacional;;;51 Trabajadores asalariados de los servicios de restauración;Mujeres;2022;417.538
Total Nacional;;;51 Trabajadores asalariados de los servicios de restauración;Mujeres;2021;386.871
Total Nacional;;;52 Dependientes en tiendas y almacenes;Total;2022;956.745
Total Nacional;;;52 Dependientes en tiendas y almacenes;Total;2021;955.278
Total Nacional;;;52 Dependientes en tiendas y almacenes;Hombres;2022;308.768
Total Nacional;;;52 Dependientes en tiendas y almacenes;Hombres;2021;312.722
Total Nacional;;;52 Dependientes en tiendas y almacenes;Mujeres;2022;647.977
Total Nacional;;;52 Dependientes en tiendas y almacenes;Mujeres;2021;642.556
Total Nacional;;;53 Comerciantes propietarios de tiendas;Total;2022;348.256
Total Nacional;;;53 Comerciantes propietarios de tiendas;Total;2021;351.873
Total Nacional;;;53 Comerciantes propietarios de tiendas;Hombres;2022;160.212
Total Nacional;;;53 Comerciantes propietarios de tiendas;Hombres;2021;162.527
Total Nacional;;;53 Comerciantes propietarios de tiendas;Mujeres;2022;188.044
Total Nacional;;;53 Comerciantes propietarios de tiendas;Mujeres;2021;189.346
Total Nacional;;;54 Vendedores (excepto en tiendas y almacenes);Total;2022;159.179
Total Nacional;;;54 Vendedores (excepto en tiendas y almacenes);Total;2021;170.236
Total Nacional;;;54 Vendedores (excepto en tiendas y almacenes);Hombres;2022;81.315
Total Nacional;;;54 Vendedores (excepto en tiendas y almacenes);Hombres;2021;85.271
Total Nacional;;;54 Vendedores (excepto en tiendas y almacenes);Mujeres;2022;77.864
Total Nacional;;;54 Vendedores (excepto en tiendas y almacenes);Mujeres;2021;84.965
Total Nacional;;;55 Cajeros y taquilleros (excepto bancos);Total;2022;113.066
Total Nacional;;;55 Cajeros y taquilleros (excepto bancos);Total;2021;120.894
Total Nacional;;;55 Cajeros y taquilleros (excepto bancos);Hombres;2022;23.585
Total Nacional;;;55 Cajeros y taquilleros (excepto bancos);Hombres;2021;25.328
Total Nacional;;;55 Cajeros y taquilleros (excepto bancos);Mujeres;2022;89.481
Total Nacional;;;55 Cajeros y taquilleros (excepto bancos);Mujeres;2021;95.566
Total Nacional;;;56 Trabajadores de los cuidados a las personas en servicios de salud;Total;2022;491.581
Total Nacional;;;56 Trabajadores de los cuidados a las personas en servicios de salud;Total;2021;413.370
Total Nacional;;;56 Trabajadores de los cuidados a las personas en servicios de salud;Hombres;2022;85.085
Total Nacional;;;56 Trabajadores de los cuidados a las personas en servicios de salud;Hombres;2021;61.247
Total Nacional;;;56 Trabajadores de los cuidados a las personas en servicios de salud;Mujeres;2022;406.496
Total Nacional;;;56 Trabajadores de los cuidados a las personas en servicios de salud;Mujeres;2021;352.123
Total Nacional;;;57 Otros trabajadores de los cuidados a las personas;Total;2022;182.423
Total Nacional;;;57 Otros trabajadores de los cuidados a las personas;Total;2021;189.333
Total Nacional;;;57 Otros trabajadores de los cuidados a las personas;Hombres;2022;19.541
Total Nacional;;;57 Otros trabajadores de los cuidados a las personas;Hombres;2021;25.902
Total Nacional;;;57 Otros trabajadores de los cuidados a las personas;Mujeres;2022;162.882
Total Nacional;;;57 Otros trabajadores de los cuidados a las personas;Mujeres;2021;163.431
Total Nacional;;;58 Trabajadores de los servicios personales;Total;2022;399.274
Total Nacional;;;58 Trabajadores de los servicios personales;Total;2021;414.632
Total Nacional;;;58 Trabajadores de los servicios personales;Hombres;2022;148.245
Total Nacional;;;58 Trabajadores de los servicios personales;Hombres;2021;155.724
Total Nacional;;;58 Trabajadores de los servicios personales;Mujeres;2022;251.029
Total Nacional;;;58 Trabajadores de los servicios personales;Mujeres;2021;258.908
Total Nacional;;;59 Trabajadores de los servicios de protección y seguridad;Total;2022;440.932
Total Nacional;;;59 Trabajadores de los servicios de protección y seguridad;Total;2021;442.689
Total Nacional;;;59 Trabajadores de los servicios de protección y seguridad;Hombres;2022;371.795
Total Nacional;;;59 Trabajadores de los servicios de protección y seguridad;Hombres;2021;373.126
Total Nacional;;;59 Trabajadores de los servicios de protección y seguridad;Mujeres;2022;69.137
Total Nacional;;;59 Trabajadores de los servicios de protección y seguridad;Mujeres;2021;69.563
Total Nacional;;;61 Trabajadores cualificados en actividades agrícolas;Total;2022;238.743
Total Nacional;;;61 Trabajadores cualificados en actividades agrícolas;Total;2021;229.947
Total Nacional;;;61 Trabajadores cualificados en actividades agrícolas;Hombres;2022;164.445
Total Nacional;;;61 Trabajadores cualificados en actividades agrícolas;Hombres;2021;161.386
Total Nacional;;;61 Trabajadores cualificados en actividades agrícolas;Mujeres;2022;74.298
Total Nacional;;;61 Trabajadores cualificados en actividades agrícolas;Mujeres;2021;68.561
Total Nacional;;;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Total;2022;80.497
Total Nacional;;;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Total;2021;81.679
Total Nacional;;;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Hombres;2022;55.628
Total Nacional;;;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Hombres;2021;56.336
Total Nacional;;;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Mujeres;2022;24.869
Total Nacional;;;62 Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares);Mujeres;2021;25.343
Total Nacional;;;63 Trabajadores cualificados en actividades agropecuarias mixtas;Total;2022;23.128
Total Nacional;;;63 Trabajadores cualificados en actividades agropecuarias mixtas;Total;2021;23.729
Total Nacional;;;63 Trabajadores cualificados en actividades agropecuarias mixtas;Hombres;2022;15.283
Total Nacional;;;63 Trabajadores cualificados en actividades agropecuarias mixtas;Hombres;2021;15.633
Total Nacional;;;63 Trabajadores cualificados en actividades agropecuarias mixtas;Mujeres;2022;7.845
Total Nacional;;;63 Trabajadores cualificados en actividades agropecuarias mixtas;Mujeres;2021;8.096
Total Nacional;;;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Total;2022;36.656
Total Nacional;;;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Total;2021;36.021
Total Nacional;;;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Hombres;2022;31.498
Total Nacional;;;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Hombres;2021;30.739
Total Nacional;;;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Mujeres;2022;5.158
Total Nacional;;;64 Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas;Mujeres;2021;5.282
Total Nacional;;;71 Trabajadores en obras estructurales de construcción y afines;Total;2022;572.553
Total Nacional;;;71 Trabajadores en obras estructurales de construcción y afines;Total;2021;573.013
Total Nacional;;;71 Trabajadores en obras estructurales de construcción y afines;Hombres;2022;543.029
Total Nacional;;;71 Trabajadores en obras estructurales de construcción y afines;Hombres;2021;536.672
Total Nacional;;;71 Trabajadores en obras estructurales de construcción y afines;Mujeres;2022;29.524
Total Nacional;;;71 Trabajadores en obras estructurales de construcción y afines;Mujeres;2021;36.341
Total Nacional;;;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Total;2022;216.362
Total Nacional;;;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Total;2021;223.211
Total Nacional;;;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Hombres;2022;203.281
Total Nacional;;;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Hombres;2021;207.795
Total Nacional;;;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Mujeres;2022;13.081
Total Nacional;;;72 Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines;Mujeres;2021;15.416
Total Nacional;;;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Total;2022;229.919
Total Nacional;;;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Total;2021;219.417
Total Nacional;;;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Hombres;2022;213.707
Total Nacional;;;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Hombres;2021;203.590
Total Nacional;;;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Mujeres;2022;16.212
Total Nacional;;;73 Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines;Mujeres;2021;15.827
Total Nacional;;;74 Mecánicos y ajustadores de maquinaria;Total;2022;275.354
Total Nacional;;;74 Mecánicos y ajustadores de maquinaria;Total;2021;275.859
Total Nacional;;;74 Mecánicos y ajustadores de maquinaria;Hombres;2022;256.227
Total Nacional;;;74 Mecánicos y ajustadores de maquinaria;Hombres;2021;255.320
Total Nacional;;;74 Mecánicos y ajustadores de maquinaria;Mujeres;2022;19.127
Total Nacional;;;74 Mecánicos y ajustadores de maquinaria;Mujeres;2021;20.539
Total Nacional;;;75 Trabajadores especializados en electricidad y electrotecnología;Total;2022;248.459
Total Nacional;;;75 Trabajadores especializados en electricidad y electrotecnología;Total;2021;269.301
Total Nacional;;;75 Trabajadores especializados en electricidad y electrotecnología;Hombres;2022;233.370
Total Nacional;;;75 Trabajadores especializados en electricidad y electrotecnología;Hombres;2021;249.237
Total Nacional;;;75 Trabajadores especializados en electricidad y electrotecnología;Mujeres;2022;15.089
Total Nacional;;;75 Trabajadores especializados en electricidad y electrotecnología;Mujeres;2021;20.064
Total Nacional;;;76 Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas;Total;2022;62.024
Total Nacional;;;76 Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas;Total;2021;67.452
Total Nacional;;;76 Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas;Hombres;2022;45.701
Total Nacional;;;76 Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas;Hombres;2021;49.453
Total Nacional;;;76 Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas;Mujeres;2022;16.323
Total Nacional;;;76 Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas;Mujeres;2021;17.999
Total Nacional;;;77 Trabajadores de la industria de la alimentación, bebidas y tabaco;Total;2022;184.890
Total Nacional;;;77 Trabajadores de la industria de la alimentación, bebidas y tabaco;Total;2021;189.643
Total Nacional;;;77 Trabajadores de la industria de la alimentación, bebidas y tabaco;Hombres;2022;111.096
Total Nacional;;;77 Trabajadores de la industria de la alimentación, bebidas y tabaco;Hombres;2021;114.883
